Timestamp,Node_ID,CPU_Utilization_%,Memory_Utilization_%,CPU1_Temp_C,CPU2_Temp_C,Inlet_Temp_C,Exhaust_Temp_C,System_Power_W,Avg_Fan_Speed_RPM,Air_Flow_CFM,Voltage_V,Clock_Speed_GHz
2024-01-15 00:00:00,NODE_01,11.6,46.38,39.64,40.03,21.61,46.32,214.2,3232.0,25.19,11.988,2.593
2024-01-15 00:05:00,NODE_01,12.89,46.04,38.87,39.73,21.17,46.66,207.6,3161.0,26.27,12.025,2.527
2024-01-15 00:10:00,NODE_01,14.22,44.57,37.95,39.47,21.4,48.23,220.5,3087.0,23.38,12.013,2.597
2024-01-15 00:15:00,NODE_01,12.41,43.79,37.92,39.06,21.35,44.67,221.3,3002.0,24.55,11.906,2.623
2024-01-15 00:20:00,NODE_01,10.78,42.6,37.45,38.6,21.42,49.33,217.0,2932.0,23.07,11.995,2.606
2024-01-15 00:25:00,NODE_01,10.87,41.64,37.03,38.49,21.24,44.96,210.2,2852.0,23.75,11.958,2.6
2024-01-15 00:30:00,NODE_01,13.09,41.6,37.12,37.98,21.47,46.7,221.2,2812.0,22.27,11.993,2.546
2024-01-15 00:35:00,NODE_01,10.24,41.58,37.04,37.64,21.12,44.39,213.7,2787.0,23.84,12.023,2.615
2024-01-15 00:40:00,NODE_01,11.4,41.36,36.98,37.48,21.18,44.21,209.2,2781.0,23.18,11.993,2.564
2024-01-15 00:45:00,NODE_01,10.62,41.82,36.74,37.0,21.03,43.79,211.8,2721.0,22.43,12.062,2.565
2024-01-15 00:50:00,NODE_01,11.69,41.22,36.48,36.74,21.28,43.51,210.9,2705.0,22.31,11.924,2.656
2024-01-15 00:55:00,NODE_01,12.96,40.6,36.47,37.04,21.44,43.32,215.4,2624.0,21.49,11.954,2.63
2024-01-15 01:00:00,NODE_01,11.37,40.08,36.74,37.33,21.48,49.27,210.9,2603.0,19.99,11.962,2.634
2024-01-15 01:05:00,NODE_01,13.15,39.21,36.41,37.52,21.54,44.45,218.2,2557.0,22.06,12.002,2.587
2024-01-15 01:10:00,NODE_01,12.35,38.85,36.39,37.29,21.3,44.44,209.7,2515.0,20.89,11.97,2.583
2024-01-15 01:15:00,NODE_01,14.78,38.5,36.76,37.45,21.45,47.39,214.8,2536.0,20.97,12.05,2.576
2024-01-15 01:20:00,NODE_01,15.64,38.08,36.8,37.77,21.68,47.6,225.5,2551.0,21.64,12.039,2.584
2024-01-15 01:25:00,NODE_01,12.8,38.67,36.13,37.52,21.3,45.52,216.3,2510.0,19.66,12.001,2.601
2024-01-15 01:30:00,NODE_01,12.2,37.67,36.33,37.61,21.46,48.15,214.6,2486.0,16.43,12.017,2.61
2024-01-15 01:35:00,NODE_01,14.89,37.99,36.99,37.09,21.54,45.31,223.8,2499.0,19.44,11.941,2.565
2024-01-15 01:40:00,NODE_01,13.8,38.69,36.71,37.23,21.59,44.21,225.9,2518.0,19.8,12.031,2.618
2024-01-15 01:45:00,NODE_01,13.98,38.42,36.7,37.44,21.22,43.45,223.7,2553.0,21.07,12.081,2.635
2024-01-15 01:50:00,NODE_01,14.92,38.24,36.51,36.92,21.79,48.23,228.1,2577.0,21.08,11.989,2.597
2024-01-15 01:55:00,NODE_01,13.57,38.04,36.43,36.98,21.61,45.47,228.7,2562.0,20.68,12.001,2.616
2024-01-15 02:00:00,NODE_01,16.31,37.38,36.58,37.24,21.34,44.58,220.3,2534.0,20.12,12.007,2.616
2024-01-15 02:05:00,NODE_01,17.54,37.93,37.0,37.65,21.43,48.15,232.8,2546.0,20.87,11.992,2.601
2024-01-15 02:10:00,NODE_01,16.1,38.27,36.88,37.77,21.44,45.99,213.9,2534.0,20.53,11.955,2.633
2024-01-15 02:15:00,NODE_01,16.13,38.29,37.0,38.35,21.39,45.71,230.6,2537.0,19.65,11.977,2.647
2024-01-15 02:20:00,NODE_01,14.28,37.75,37.05,38.52,21.4,49.2,214.5,2608.0,21.15,11.983,2.599
2024-01-15 02:25:00,NODE_01,14.14,37.69,36.8,38.38,21.39,45.48,211.9,2570.0,21.4,11.97,2.6
2024-01-15 02:30:00,NODE_01,15.59,37.64,36.73,38.45,21.18,45.25,225.3,2592.0,21.55,12.029,2.633
2024-01-15 02:35:00,NODE_01,16.89,38.13,37.24,38.34,21.55,45.21,237.4,2584.0,20.56,11.953,2.65
2024-01-15 02:40:00,NODE_01,16.61,37.88,37.44,38.19,21.28,47.33,229.5,2573.0,20.72,11.959,2.666
2024-01-15 02:45:00,NODE_01,17.23,37.43,37.89,37.93,20.99,49.25,235.7,2591.0,20.39,11.992,2.681
2024-01-15 02:50:00,NODE_01,18.58,37.17,37.87,38.32,21.76,48.6,238.5,2627.0,20.59,12.004,2.645
2024-01-15 02:55:00,NODE_01,17.75,37.71,38.01,38.98,21.58,49.55,234.9,2593.0,20.84,12.112,2.629
2024-01-15 03:00:00,NODE_01,15.54,38.16,38.22,38.18,21.49,47.38,227.3,2573.0,21.89,12.089,2.651
2024-01-15 03:05:00,NODE_01,15.82,38.98,38.19,38.41,21.26,50.79,231.4,2574.0,20.51,12.002,2.614
2024-01-15 03:10:00,NODE_01,14.89,38.47,38.2,38.25,21.39,46.86,229.9,2594.0,20.69,11.868,2.644
2024-01-15 03:15:00,NODE_01,14.59,39.2,37.79,38.42,21.29,48.39,221.9,2571.0,20.25,12.085,2.589
2024-01-15 03:20:00,NODE_01,14.97,38.29,38.08,38.27,21.51,45.0,221.2,2556.0,21.28,12.006,2.589
2024-01-15 03:25:00,NODE_01,14.57,38.84,38.17,38.3,21.51,50.48,221.9,2562.0,20.79,12.007,2.573
2024-01-15 03:30:00,NODE_01,13.56,39.54,37.92,37.92,21.23,47.34,226.6,2579.0,21.69,11.938,2.606
2024-01-15 03:35:00,NODE_01,14.66,39.99,37.38,38.29,21.51,45.0,223.9,2525.0,20.3,12.024,2.611
2024-01-15 03:40:00,NODE_01,16.4,40.08,37.82,38.35,21.09,48.89,226.1,2544.0,20.66,11.931,2.628
2024-01-15 03:45:00,NODE_01,16.65,39.59,38.14,38.56,21.71,48.39,226.9,2592.0,21.41,11.965,2.58
2024-01-15 03:50:00,NODE_01,18.95,39.4,38.78,38.41,21.69,49.62,236.9,2606.0,21.21,11.95,2.696
2024-01-15 03:55:00,NODE_01,15.97,39.8,38.72,38.91,21.48,48.64,229.6,2659.0,21.44,11.971,2.617
2024-01-15 04:00:00,NODE_01,15.74,39.07,38.39,38.81,21.18,50.83,238.9,2695.0,22.44,11.966,2.582
